hostname,st_teff,st_lum,st_mass,st_rad,st_logg,st_met,st_age,sy_dist_log,sy_pm,sy_snum,sy_gaiamag,st_spectype_group,sy_pnum,hz_pnum,has_hz_planet,st_logg_filled
Kepler-920,5403.0,-0.2577324284473442,0.89,0.85,4.54,0.0,4.37,3.0007290025387823,19.9348122,1,15.2681,,2,0,0,False
Kepler-921,5663.0,-0.1168411188844088,0.93,0.91,4.5,-0.12,4.27,2.9705746583440047,11.2397712,1,14.7055,,1,0,0,False
Kepler-922,5671.0,-0.09550566378084749,0.95,0.93,4.48,-0.05,4.37,2.7294264219097366,20.3887035,1,13.745,,1,0,0,False
Kepler-943,5619.0,0.0086,1.027,1.27,4.239,0.11,8.7,3.36182790104333,10.6569322,1,15.6387,,1,0,0,False
Kepler-945,5718.0,-0.04459007741234268,0.97,0.97,4.46,-0.01,4.47,3.2178128306225835,4.483889,1,15.8596,,1,0,0,False
Kepler-944,5409.0,-0.2764860395123071,0.86,0.83,4.54,-0.11,4.47,3.130150360991671,3.055147,1,15.7109,,1,0,0,False
Kepler-942,4719.72,-0.58453,0.756,0.763054,4.55148,0.1894,,2.335164928940192,25.1648653,1,13.0663,,1,0,0,False
Kepler-1034,5198.0,-0.37758507538885017,0.83,0.8,4.57,-0.06,4.79,2.815942163695116,11.2644311,1,15.074,,1,0,0,False
Kepler-951,4834.0,-0.5832378455052747,0.77,0.73,4.6,-0.01,4.27,2.5826416580631104,15.9603651,2,14.4908,,1,0,0,False
Kepler-1024,5242.74,-0.34993,0.9,0.810164,4.57516,-0.162,,3.0363893286656922,4.2387362,1,16.0064,,1,0,0,False
Kepler-967,5178.0,-0.38428199165341237,0.84,0.8,4.56,-0.03,5.89,2.7547656084045324,25.5161829,1,14.4513,,2,1,1,False
Kepler-995,5206.0,-0.3749135209559576,0.83,0.8,4.57,-0.07,5.01,2.7850720296503804,5.4071296,1,14.8814,,1,0,0,False
Kepler-1053,4405.22,-0.89512,0.689,0.612574,4.70197,0.0367,,2.1793478086905855,7.4313548,1,13.2088,,1,0,0,False
Kepler-1060,5797.0,-0.0030265593545261192,0.99,0.99,4.44,-0.03,4.27,2.9761504420420906,4.9038639,1,14.6366,,1,0,0,False
Kepler-1042,4815.0,-0.6020599913279623,0.75,0.72,4.61,-0.1,4.79,,5.305651,1,15.6716,,1,0,0,False
Kepler-1026,4948.0,-0.5192688594209802,0.79,0.75,4.59,-0.02,4.57,2.5456027320188834,13.6848863,1,14.2019,,1,0,0,False
Kepler-1032,4647.0,-0.6759027626790883,0.77,0.71,4.62,0.16,1.86,2.828021517288693,7.1793177,1,15.7993,,1,0,0,False
